,app,content,score,at
0,Al Habib,good,5,2025-07-11 10:24:50
1,Al Habib,"Its useless i am trying to register my account. But every time I get an email error, even though my email address is correct. I went to the bank and no one listened to me, nor did I call the helpline to any avail.",1,2025-07-11 05:53:23
2,Al Habib,app is good but I have an issue now I'm living abroad and I'm using app but now app is not open and there is error unable to connect to the server please how to solve this,5,2025-07-10 23:28:19
3,Al Habib,bank is good coie sarvis,5,2025-07-10 21:49:23
4,Al Habib,"There is so much wrong about this net banking app of yours, recurring login problems which got fixed after three back to back voice calls to your customer care center. Biometric problem and many more exists till this date. I regret opening an account with BAHL and registering an E-account on BAHL Net Banking application, This was my worst decision to opt for your banking services randomly without any research. BAHL should uplift their net banking services up to the mark.",1,2025-07-10 18:01:09
5,Al Habib,good app and fast service,5,2025-07-10 17:44:30
6,Al Habib,I can't tell what that was? they don't have any idea how to create an app. contact me for a better app. I can make it 100 times better.. 1: many times app say that my id password incorrect. and then it login with same. 2: it's not android app it's a WebView . so many times I see 404 error. 3: many times I faced issue while sending amount. 4: zero level UI and so many issues there.,1,2025-07-10 12:29:28
7,Al Habib,"My app is not working since 4 days. i have a business account and all my transactions have been delayed and paused due to this problem. I log in and it shows an error blank comment box, like only error written. pls fix it as soon as possible.",1,2025-07-10 11:13:18
8,Al Habib,Worst Experience app never work properly,1,2025-07-10 02:29:57
9,Al Habib,stupid not working since 2 days,2,2025-07-09 23:28:20
10,Al Habib,❤️ ❤️ ❤️,5,2025-07-09 19:46:36
11,Al Habib,easy to use,5,2025-07-09 17:18:21
12,Al Habib,good 😊,5,2025-07-09 17:09:07
13,Al Habib,"Too slow, poor performance, not user-friendly.",1,2025-07-09 14:31:23
14,Al Habib,good app but working issue done,4,2025-07-09 11:53:48
15,Al Habib,"The online banking service is very poor, especially for customers residing outside the country, as there is no adequate support available.",1,2025-07-09 10:47:48
16,Al Habib,Good,5,2025-07-09 10:40:23
17,Al Habib,"I am disappointed, it's gives problems off and on. Now since 2 days I am unable to perform a transaction. initial login is ok but when I go in transfers, first it shows no accounts available, and then they appear but when I proceed for transfer further, it shows we are unable to perform this transaction at the moment. please contact your bank for further information.",3,2025-07-09 08:59:01
18,Al Habib,not useful features,1,2025-07-08 21:39:49
19,Al Habib,Worst mobile banking app i have ever seen. Outdated and slow. No upgradation for last 6 years(maybe more than that). No finger biometric option. Old OTP that takes 10 minutes to wait. The aap auto restart when we go to email for OTP.,1,2025-07-08 20:48:19
20,Al Habib,why is this app not working it is urgent please look at this matter,1,2025-07-08 12:49:28
21,Al Habib,great,5,2025-07-08 12:16:48
22,Al Habib,very bold and slow app .no need star to this app,1,2025-07-08 10:40:38
23,Al Habib,good 👍,5,2025-07-08 01:33:11
24,Al Habib,"I am extremely disappointed with the substandard performance of the Bank AL Habib mobile application.Bank AL Habib Limited On two separate occasions this week, my valid username and password were not recognized by the system. When I attempted to reset my password, my account was subsequently blocked. Despite contacting the helpline and having the account reactivated, the same issue persisted upon my next login attempt. Additionally, the biometric fingerprint login feature consistently disabled",1,2025-07-08 01:20:10
25,Al Habib,slow performance often,5,2025-07-07 23:02:20
26,Al Habib,"Update something, smooth it out, it's the same old features.",2,2025-07-07 20:24:18
27,Al Habib,Sab se gandi or third class service h enki sb se fuzol tareef bank h ye fee sb se ziyada highe h Lekin sb se bekar h,1,2025-07-07 19:54:10
28,Al Habib,nice,5,2025-07-07 19:38:57
29,Al Habib,"I’m very disappointed with the Al Habib Bank mobile application. The overall performance is extremely slow, making even the simplest tasks frustrating and time-consuming. In today’s digital world, where people expect fast and efficient mobile banking, Al Habib’s app feels far behind.",1,2025-07-07 16:36:30
30,Al Habib,worst digital app ever... using it for last 2 years..stuck any time the biggest trouble is no time and date schedule for banks statement..,1,2025-07-07 15:46:54
31,Al Habib,"horrible app, usually the link is down.",1,2025-07-07 14:03:42
32,Al Habib,Always errors and problems,1,2025-07-07 12:49:40
33,Al Habib,worst banking app,1,2025-07-07 01:32:23
34,Al Habib,Bad experience in customer care 3days still my issue not resolved I'm using mobile banking app such a losses services my mobile balance almost 2k decetion for 3days bank al habib customer service such a cheap,1,2025-07-06 21:01:23
35,Al Habib,Crashing repeatedly since the start of July. Biometrics get disabled automatically. Was working fine till end of June,1,2025-07-06 20:28:40
36,Al Habib,good app,5,2025-07-06 13:01:40
37,Al Habib,biometric scanner hony k bad bhi ap open nhi ho rhi ab kya masla hai,5,2025-07-06 05:21:29
38,Al Habib,Worst banking App! I want to rate it even below 1 star.,1,2025-07-05 17:59:56
39,Al Habib,GOOD app,5,2025-07-05 17:05:22
40,Al Habib,useless app I think this is the most useless app in the world.,1,2025-07-05 12:52:47
41,Al Habib,good,5,2025-07-05 09:09:41
42,Al Habib,very bad app every time you login you have to provide password even touch id is enabled in the app it keeps getting reset,1,2025-07-05 06:37:51
