,content,score,timestamp
0,good,5,2025-07-09 22:04:20
1,I am unable to login after sing up. Can app developer help me. I am unable to share screen shot in review.,1,2025-07-08 12:58:51
2,seems useless,1,2025-07-03 01:05:30
3,bakwas hai sara masala hall ni krtay direct ap ki complain drop kr k msg krtay solve hogaya halank wo usitarah pending Chal Raha HOTA hai,1,2025-06-30 15:13:26
4,Stunning,5,2025-06-29 09:33:47
5,we can't complain against branchless banking like Sadapay Nayapay,1,2025-06-25 13:48:11
6,very helpful app for everyone.,5,2025-06-06 12:18:46
7,very bed,1,2025-06-05 18:35:00
8,"I was Happy to see this App. But When I was looking for HBL KONNECT option. It was not present there. I want to file a dispute against HBL KONNECT, Which is a Product of HBL. Kindly List all the Options HBL KONNECT Nayapay SADAPAY I hope Team will look into it .",3,2025-06-05 10:32:58
9,"Please add missing UBL branch Wah Model Town, GT Road,",2,2025-06-01 19:08:21
10,This platform is also useless and not Helpful. I raised 2time complaint to provide all the supporting documents. my issue is still not resolved. they closed my complaint without solving it and status shows it is resolved. (complain No.83655 & 88636) without solving it and status shows it is resolved.,1,2025-05-31 15:07:43
11,Unable to reset my password since one year,1,2025-05-31 09:48:16
12,sunwai portal is not working,1,2025-05-27 08:32:31
13,ASSALAMU ALAIKUM I WILL COMPLAINT 3 TIMES BUT TILL NOW NO RESPONSE FROM TEAM... I AM STILL WAITING WITH PATIENCE WITH POSITIVE THOUGHTS I WIIL REQUEST TO SUNWAI APP TEAM PLZPLZ PLZ SOLVE MY PROBLEM 🙏🏻😭🙏🏻😭🙏🏻😭🙏🏻😭,3,2025-05-22 21:55:12
14,best app best people thank u govt pak nd thnk u un logo ka jo yaha mulazam ha or hmari bat snte hain thnk u,5,2025-05-18 20:54:15
15,👍,5,2025-05-16 12:28:59
16,There is no way to change the email address. I accidentally put wrong email and now the app not allowing me to change email address.,1,2025-05-15 19:31:56
17,very bad app there is no out look even no scroll to see full content worst app... and also no any response...just clos3 the complaint without information...,1,2025-05-12 10:53:44
18,very helpful,5,2025-05-11 19:39:26
19,very Great App. I issued a complain about account hold .. they took action abruptly. very Helpful..,5,2025-05-06 16:29:53
20,the worst 😭 application I ever had experienced.,1,2025-05-05 10:00:24
21,"Thanks for launching this app/portal by state bank of Pakistan. I submitted a complain regarding my account, withing short time my issue was resolved. Thanks regards",5,2025-05-04 22:21:37
22,does not working,1,2025-05-04 00:06:03
23,There is no wallet account show in the list.how can i submit the complain against wallet account like Nayapay,1,2025-05-02 14:56:26
