content,app
very easy to use,UBL Digital
I am also user The more bank app but the UBL Bank app is so easy and also very good 👍👍👍,UBL Digital
"overall good, but it's crush while setup card with NFC",UBL Digital
awesome app doing lots with it,UBL Digital
very good service👍,UBL Digital
mashallah nice facility,UBL Digital
"good, simple and easy to use.",UBL Digital
Really fast and easy to use. Love the simplicity.,UBL Digital
great but very slow,UBL Digital
Posted Payment Failures Always Effect Us In Every Important Time.,UBL Digital
very good and easy app,UBL Digital
Pakistan best app. but need to show bank account and bank name selection on same page,UBL Digital
all the best,UBL Digital
it's very good UBL Digital app and help full for everyone ❤️,UBL Digital
with due respect i am stating that i had already visited branch last day and filed complain and provided my biometric verification and all transactions proofs. at that time then they asked me that my issue will be resolved within 24 hrs.but later on still my issue not resolved and you are asking me to visit again branch kindly you get in touch with branch as i provided all proofs for all transactions with written statement most important thing is this that rather than asking me to visit Branch,UBL Digital
"Excellent App for Everyday Banking UBL Digital App is simple, secure, and very convenient. Everything from fund transfers to bill payments works smoothly. The interface is clean, and features like biometric login add extra security. Great app for managing your bank on the go!",UBL Digital
ubl digital app ne boht asani kar dy zaberdust or Kam ka app hai.,UBL Digital
excellent work 👍,UBL Digital
Best app and good service,UBL Digital
worst banking app in digital world I've provided biometric verification but still can't login in app I have talk to a lot of agent one agent told me do biometric verification in any branch I tried twice but still can't process I highly recommend to everyone don't make account through app simply visit branch.,UBL Digital
Great App 👍,UBL Digital
ever best digital Bank app,UBL Digital
Perfect need little more other wise ok,UBL Digital
very good service,UBL Digital
good app 💫,UBL Digital
service good I like ubl service,UBL Digital
Very Smooth App ❣️,UBL Digital
term deposit option is not available,UBL Digital
"The UBL app is truly amazing and has made banking so much easier and more convenient. From checking balances to transferring funds and paying bills — everything works smoothly with just a few taps. The interface is user-friendly, and the features are constantly improving. However, one major issue is when changing your mobile device. Even after verifying my fingerprint/biometric on the new phone, the app still asks me to visit the branch for biometric verification again. This is frustrating and",UBL Digital
Thanks UBL App safe my time,UBL Digital
after update money transfer transactions are not happening 😕 not satisfied pathetic app,UBL Digital
"Pakistan s, No 1 Bank",UBL Digital
Very Good App & UBL Bank,UBL Digital
Your service is very good I have only one request from you listen to overseas quickly,UBL Digital
Second best banking app after easypaisa! Superb!,UBL Digital
love it this is fantastic i cant live with out ubl i swear if ubl provide me a little gift i will use more,UBL Digital
Amazing Services 💕,UBL Digital
"Haider Ali excellent service, time saving, ease to pay almost all types of payments",UBL Digital
very good app,UBL Digital
good app working,UBL Digital
"I'm unable to sign up through the app. The interface appears to be reversed, and the sign-up process isn't functioning properly. Please look into this issue. Thank you.",UBL Digital
I do receive the OTP via SMS but the application is not fetching it and I am unable to log in to my account.,UBL Digital
Unable to do Biometric 😞 verification,UBL Digital
how to add beneficiery account in UBL mobile app ??,UBL Digital
ubl banking is good any time any way to use the app working so good simply sending the money ... you pay utility bill etc then easy to pay the App ...,UBL Digital
The app is perfect 💯 but you should add payment request links kindly add this that's why I am giving it 3 stars,UBL Digital
very sweet and very lovely and very good,UBL Digital
working not Gud,UBL Digital
it's very easy and beautiful app for using,UBL Digital
user friendly and very easy to use.,UBL Digital
one of the Best 👍,UBL Digital
One of the Best Bank in Pakistan,UBL Digital
"kindly Make its options speed faster & transaction sending System faster,just simply want Ubl app works like rocket system rest other 5 ratings + secure most every privacy security r too good needs more upgradtion & provide facility for online transactions more",UBL Digital
very nice and so easy to use,UBL Digital
really good app,UBL Digital
Its Amazing app & Easily,UBL Digital
very good 👍😊,UBL Digital
very simple interface and easy to use,UBL Digital
Very good performance,UBL Digital
i am very satisfied of this ubl app....,UBL Digital
nice banking system and very simple and inshort app,UBL Digital
good app for personal use,UBL Digital
"fantastic it's really made easier for us safe,realible thanx UBL Provide such quality service.",UBL Digital
best online aap in pakistan Tnx UBL,UBL Digital
Best banking network,UBL Digital
just amazing services,UBL Digital
poor app ever you can not delete your bank on here and poor display,UBL Digital
good job 👍👏👏,UBL Digital
When will Silkbank user's can use the UBL bank app ? please confirm,UBL Digital
Great Ubl mobile app service i am using this better than All other banks app,UBL Digital
This is good app This is Amazing app,UBL Digital
UBL is great its bank service branch service online facilities all things are really good.,UBL Digital
this is a good app and safe app,UBL Digital
i can not sign up in tha app i am not getting tha sign up vis card option do i have to activate the card first??,UBL Digital
like as UBL Bank digital,UBL Digital
international level app,UBL Digital
Excellent Bank Online Services,UBL Digital
"have a lot of problems and latency, most of the banks even reject it",UBL Digital
can we pay the electricity bill with this apication,UBL Digital
kindly review statement option. show over all debit and credit in statement for example dr 200000 cr 200000,UBL Digital
"This app is best,but ak issue hy,ubl digital app sy ham just apna acc balanace check kr skty hain,other apps like hbl app sy balance check krny k ilawa ham hbl sy kisi dusry application py transactions b kr skty hain,jazz cash easy paisa ki tarah",UBL Digital
good 👍 ubl,UBL Digital
bakwas tareeen banking,UBL Digital
I'm very satisfied UBL App Fast response fast Service Everything Much better,UBL Digital
"simple, no useless features. in fact I'm using UBL bank just for the app, love it.",UBL Digital
"Impressive, nice UI, Nice user experience and everything is perfect 👍",UBL Digital
Installing App into new phone is a headache. What us the purpose of mobile App if we have to visit branch to activate the app..,UBL Digital
It's the worst internet banking app in pakistan just been 2 weeks i had opened an account and here im now trying to send some money from the past 3 hours and still no progress,UBL Digital
I forget my password and still trying but the app working is very cheap they taking picture take many hours but not complete the scan if it's possible to open the app plz tel me the write way forget password is not working I tried many times improve the app quality,UBL Digital
Good 👍 app for payments traction's,UBL Digital
Best app of Banking,UBL Digital
nice and helpfully app.,UBL Digital
"UBL app is much better and easier to use compared to Faysal Bank's app. I tried to transfer money using the Faysal app — it showed a successful transfer and even sent a receipt and SMS, but the money was never actually sent. On the other hand, UBL app is smooth, user-friendly, and the transactions are accurate and reliable",UBL Digital
good service 👍👍👍,UBL Digital
very very nice,UBL Digital
very good online banking application. And also smooth,UBL Digital
so friendly and accurate app never disappoint me,UBL Digital
"using digital aap for last three years, best and satisfactory result so far....",UBL Digital
mash Allah it's awesome wonderfull UBL it's a good bank I like it it fast & very secure.... 💯💕Pakistan zindabad 💕 Pakistan paindabad💕💯,UBL Digital
thank you so much 👍,UBL Digital
The money gets stuck and then comes back every 2 weeks and then after 15 days.,UBL Digital
that's amazing and easy to use,UBL Digital
I am super satisfied using the online banking app. This app has different features which help to do online transactions easily.,UBL Digital
good service 👍,UBL Digital
"I'm using this application for the past 2 years and having a very great experience, not even a single issue I had faced, I personally like it's all features.",UBL Digital
"best banking app ever using it for long time, working smoothly",UBL Digital
easy to use,UBL Digital
"Hi, UBL app is always help me alot..it's make my life too mch easy...Thanks UBL...",UBL Digital
"transfer into easypaisa/ jazzcaish is no limit above 25,000 .",UBL Digital
Great app and enjoy it Thanks you,UBL Digital
your device is rooted how i solved my problem,UBL Digital
this app is amazing tha design the style the user interface it's just awesome how user-friendly and easy it is to operate,UBL Digital
Think you so much,UBL Digital
"The application is very good and user friendly. But the missing feature is, that the user is unable to view the accumulated points or points statement, which may also inform on real time basis that when the points are going to expire, which other banks also disclose.",UBL Digital
outstanding aap very satisfying,UBL Digital
I am use after 2 years this is a best app,UBL Digital
"i have a lot of Pakistani Bank account in different Pakistani Banks, but the experience of UBL Bank and UBL Digital was Amazing.. Highy Recommended.",UBL Digital
too much update bad experience,UBL Digital
very good 😊💯 easy to use,UBL Digital
Repeated automatic logout,UBL Digital
good app easy to use,UBL Digital
too good 👍,UBL Digital
"best application and services in Pakistan banking network. more than 25 year, and unmatchable services overall...",UBL Digital
UBL digital banking app is really Awesome👍.,UBL Digital
good job UBL,UBL Digital
I love ❤️ UBL bank,UBL Digital
"Hi UBL, i transfered my account from ubl Omni three years ago that time i have 1800 pkr in my account. till now my 1800 pkr is still stuck in my account impossible to send or used. otherwise the app is simple, Safe and easy to use.",UBL Digital
"Push notifications are a great feature, but currently they’re quite delayed — usually 10–15 minutes after the transaction. It would be great if UBL could improve the speed for real-time alerts, similar to other Bank’s instant notifications.",UBL Digital
very helpfull app,UBL Digital
Great experience and easy to use,UBL Digital
very good and fast banking app,UBL Digital
مزید آسان کریں ایپ کو,UBL Digital
outstanding features very fast banking app,UBL Digital
fastest online services I luv it,UBL Digital
ok well com very nice,UBL Digital
Good application for business,UBL Digital
"Team UBL, when last time updated the app you remove the feature of showing total in and out transactions of custom period filter of months and year, nowwhen we we custome filter for like 2.5 year it doesn't show total in out transactions like it does do before show a total on top of transactions history bar. please bring that handy feature back. we are facing accessibility issue within it. thanks.",UBL Digital
"it's very easy ,clear and secure.so and so specially saving time and quickly solt easily problems.",UBL Digital
"This app was good until they add a new update showing ""available balance"" when sending money to someone. It's going to be serious security concerns for the users. Kindly remove this update",UBL Digital
very simple and helpful give five star,UBL Digital
Sir g kia mera omni account ubl branch cy adjustment ho jy ga.slip pr raqam jama ho jy ge.all Pakistan ma,UBL Digital
very good AAP,UBL Digital
very good 💯,UBL Digital
One of the best online banking gap that i have ever used in my life outstanding performence user friendly environment and many more.,UBL Digital
Please update the app to include UBL Haripur branches in the branch locator. It’s important for local users.,UBL Digital
it's top service very sample and helping,UBL Digital
"I highly recommend UBL Bank to overseas Pakistanis, especially for their excellent Roshan Digital Account services. The bank provides smooth and efficient processes, quick response times, and exceptional customer support. Their staff is highly professional, cooperative, and always ready to assist with any queries. As someone living abroad, I found it easy to open and operate my Roshan Digital Account with UBL. The user-friendly digital platform.",UBL Digital
the best banking app.,UBL Digital
"very bad experience, I opened my account with biometric verification and deposit amount but after two days they blocked my account without informing and their support system is very very very very very bad , Pakistan ka itna bara bank aur is ki performance ye",UBL Digital
"branch detection failed, and though web photo take issue, camera permission issue, and camera is already permitted",UBL Digital
UBL app is just amazing. it's extremely easy to operate.,UBL Digital
"Great App, Friendly interface....",UBL Digital
"I am trying to buy Google storage with UBL Mastercard but at the time of payment it is asking me for a verification code. I am not getting the code anywhere, neither on email nor on SMS and I am also being charged Rs. 70. Temporary every time . Please fix this problem and tell me the solution.",UBL Digital
"Service is accessable issues in ubl kindly resolved it,",UBL Digital
good apps unl sample,UBL Digital
Ubl all service is well,UBL Digital
My Account Sign up not working 😔,UBL Digital
best app ever use nd fastest app really satisfy,UBL Digital
One of the best Banking App of Pakistan. Highly Recommended bank . truly appreciate developers.,UBL Digital
UBL Digital App is a vary fast secure and Beautiful App,UBL Digital
excellent and easy interface,UBL Digital
Over all it is supportive and good to use.,UBL Digital
my favorite 🤩,UBL Digital
that is amazing app,UBL Digital
This app is very helpful for customers 😃.. thank you so much UBL,UBL Digital
best of the best,UBL Digital
Its really wonderful,UBL Digital
because out of country not working I am still this time in Iraq but not working this appI have contacted UBL representatives via email three or four times but my issue has not been resolved yet.,UBL Digital
"Best Online Banking Service. I like it 😊 However, adding Payoneer in UBL would be a game changing..",UBL Digital
This is one of the best facilities for the people in the village.,UBL Digital
"🌟🌟🌟🌟🌟 ""UBL Digital App has made banking so convenient and accessible. Opening an account, checking balance, transferring funds, and paying bills can all be done easily from home. The interface is simple and user-friendly. I especially like the card control features like block/unblock and PIN management. Just a bit of speed improvement would make it perfect. Great job, UBL!""",UBL Digital
"I’ve been using the UBL app for over a year, and it’s been a great experience. The interface is simple, and I can transfer money, pay bills, and manage my account easily. Biometric login is fast, and I appreciate the regular updates. Good job, UBL!",UBL Digital
very good 👍,UBL Digital
UBL best bank for every one,UBL Digital
the good app,UBL Digital
it's very good app,UBL Digital
great App thanks ubl🥰😍 facture best no need upgrade,UBL Digital
Love 😍 it I like very much,UBL Digital
"Cannot login after changing my cell phone. Details: I bought a new cell phone but after putting credentials and OTP, the. app doesn't login. It shows error message asking for biometric verification from branch. However, I have been using the app for years on my other phone. Why can't the app use phone camera for biometric verification like almost all other bank apps including easypaisa. It's an inconvenience and therefore, 4 stars. Otherwise, the app deserves 5 stars if this issue is fixed.",UBL Digital
Assalam Walekum best banking staff and good working,UBL Digital
overall 10/10 experience but one thing missing which is an option for TDR because going branch fo that is a hassle and I hope that you will bring back that feature back again.,UBL Digital
MashaAllah good experience and big comfort for us,UBL Digital
I find ubl app very user friendly and will refer everyone to use it.,UBL Digital
nice banking app. but on easypaisa acount limit only 20k. please increase it.,UBL Digital
Meri Mother ka UBL account ubl online application se kese connect ho sakta hai,UBL Digital
after traveling back from pakistan to qatar now its asking for verification . and when i scan my cnic for verification . on my s24 ultra with perfect cameras . it says can not extract information plz scan again now iam stuck in life because of ubl... i wish i never opened account in ubl really i think there r more better banks with way better apps for it . this is one is useless and frustrating ... then again i didnt expect much from pakistani bank apps anyways . screw this,UBL Digital
This Is Very good,UBL Digital
everytime server problem,UBL Digital
Smoothly using app,UBL Digital
so manageable bank app ubl good,UBL Digital
RAAST payment not available,UBL Digital
Nice app. Easy to use. Very help full,UBL Digital
secure and safe app,UBL Digital
Very Nice Banking 👍🙂,UBL Digital
brilliant and excellent,UBL Digital
excellent thanks ubl,UBL Digital
love you UBL bank,UBL Digital
excellent work not complicated but secure,UBL Digital
"I've been using the UBL Wallet by UBL Bank and I must say it's a smooth, user-friendly, and reliable digital wallet it makes mobile banking easy with features like instant transfers, bill payments, and mobile top-ups-allin one place. The interface is clean and responsive, and transactions are secure. Highly recommended for anyone looking for a smart digital banking solution!",UBL Digital
MashaAllah bohat zabardasat . I am using this app. it's very fast and good working.,UBL Digital
Wonderful app every time it appears as an improved form.,UBL Digital
I m very unsatisfied about ubl digital app.,UBL Digital
اس ایپ میں غیر ملکی ممالک کے لئے سہولیات بھی ہونی چاہئیں۔ اگر ہم یہاں ایک ایپ بنانا چاہتے ہیں تو ، بہت ساری پریشانیوں کا سامنا کرنا پڑتا ہے۔ برائے مہربانی جو پاکستانی بیرونِ ملک ہیں ان کے بارے میں بھی سوچیں۔,UBL Digital
Best Benk UBL pakistan❤️💯,UBL Digital
Great online Digital transaction app,UBL Digital
this app is very good for online transactions,UBL Digital
awsum service user friendly,UBL Digital
fantastic app with fantastic bank,UBL Digital
100% best digital app work in fast,UBL Digital
to mach slow service,UBL Digital
Since last 4 days they are unable to correct their online transaction systems. Issue all over UBL.,UBL Digital
Ubl Best app,UBL Digital
some time it's seems to be lazy,UBL Digital
nice 💯 working app,UBL Digital
Nice Bank ♥️😍,UBL Digital
Best mobile banking application in Pakistan hands down!,UBL Digital
it's wonderful 😊,UBL Digital
very nice and smooth app I'm using from last 3 years,UBL Digital
Very good and Easy application to use,UBL Digital
very very trustable,UBL Digital
Good Mane's this app is very good for me daily work using..,UBL Digital
this is good bank,UBL Digital
I have very good experience in digital world 🌎 UBL Digital Banking application is very helpful in my life 😀,UBL Digital
"Been using ubl app for 6 years but from the last 2 months On any transactions it says service not available So bad experience, thinking to change bank. Many times i miss my urgent transfers due to this Bad app -10 rating",UBL Digital
"Giving one star for NO ANY 1LINK SERVICE on its app. This is strange, we customers have to knock other bank apps for using 1Link service.... unacceptable",UBL Digital
"UBL's service is absolutely pathetic and disappointing. Every time I try to enter the IBAN, it gives an error. Even when I use the account number, the transaction still fails. This is not just poor service – it’s an embarrassment in front of others. Whether it's your app or your system, nothing works properly. Your bank makes customers feel frustrated and humiliated. If you can't provide re 👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻",UBL Digital
best apps and very easy and fast,UBL Digital
I'm really enjoying UBL Digital banking,UBL Digital
Sir agr ham new account add krty ha ubl ma jazzcash k tuu us pyyy a Raha hota ha payment through rasst lakin us pyy rasst bni ni hoii or same number pyy rasst register ho bank k Sath tuu us py payment through rasst hi ho gii ab issue ye ha Hamy ksy PTA chly k payment jazzcash ma ja Rahi ya rasst k q k dono py payment through rasst likha a Raha ha phly tuu thk ha ab new update ma ye issue ha,UBL Digital
latest good and very easy to operate,UBL Digital
I can't update my app plz fix this,UBL Digital
awesome and wonderfully I love it,UBL Digital
The app UI is very good and easy to use. UBL Digital App provides seamless transactions without any issue and you can manage your cards very easily.,UBL Digital
whenever I Send money from ubl app Service not available Apear and transition failed I m So worried about it please solve this issue,UBL Digital
very good bank and application,UBL Digital
Great app for use,UBL Digital
"""God willing, when I get my card, I'll open an account with this bank. It's a great bank; when I saw its user interface, I was wowed!""",UBL Digital
"This app used to be great but I cannot transfer money anymore. The screen keeps loading as soon I tap on the confirmation button, nothing happens beyond this screen.",UBL Digital
very pathetic service.Whenever i process to pay there is (service is not available)🖐️🖐️🖐️,UBL Digital
kbi zrort k time kam ni aya ye app koi na koi issue chalta rahata,UBL Digital
today app is not working other wise app is excellent,UBL Digital
This app was working fine. but since last some weeks it's not working properly. continuously showing service not available error. It's happening frequently. need to be fixed.,UBL Digital
Beautiful 😍 app and services good and very secure,UBL Digital
"1Assalamu Alaikum, since morning I have been trying to transfer money from UBL app to Easypaisa and JazzCash, but it keeps saying ""Service not available."" What is the reason for this?",UBL Digital
"UBL Digital Banking has made my life so much easier, from bill payments to fund transfers, everything is smooth and quick. The app is user-friendly, secure, and always improving with useful features. Really impressed with how reliable and convenient the service is. Great job UBL team!",UBL Digital
Ever day their service is off very bad experience,UBL Digital
best banking app,UBL Digital
Thanks for good service,UBL Digital
please add other bills payment from credit card like 1bill payments etc also allow school fee of all lgs and other schools to be paid by selecting credit card account,UBL Digital
Best Application in the Pak Banking Industry.,UBL Digital
can't register on new phone as well as otp issue when registering or sending money can't enter otp manually sim must be in phone,UBL Digital
very good app for online banking,UBL Digital
add AIOU fee option too,UBL Digital
UBL bank app is very good & very helpful I'm very happy use this app specifically God think is Avery time 24hr no network problems.. I'm start use this app I think 2017 I think this is best Bank app,UBL Digital
"AoA, After the update, the RAAST PAYMENT option is not appearing under the Pay to anyone tab... will you please resolve it...",UBL Digital
"biometric doesn't work. If the first ""digital"" experience is visiting the branch for biometric, I already know everything I need to know about how digital UBL is.",UBL Digital
Good Experience so far 😊,UBL Digital
ab kaam hoy asaan zabardast,UBL Digital
good experience 👍,UBL Digital
it restarts the whole process each time I am trying finishing making my account and won't even respond telling me either it's a server error or connection problem when I try opening a digital account,UBL Digital
UBL digital app has multidimensional features and very helpful .,UBL Digital
excellent 👍 👍👍 👍👍👍👍,UBL Digital
good work but some currently creates problem,UBL Digital
it's very simple and very better app with other all banks I love ubl,UBL Digital
This is very good & easy aap,UBL Digital
Best App Amongst Other Local Banking App 🙌,UBL Digital
very fast and great service i am happy to use this app i like this app if you have 6 stars i am ready to give u 6,UBL Digital
face issue on create Raast id,UBL Digital
very good 😊,UBL Digital
excellent performance 💯,UBL Digital
overall good but never show fees when send amount to other bank so thats a bed for me i request you to add fee option when we send moeny to another bank,UBL Digital
ubl digital app more expensive app,UBL Digital
smooth fast and active,UBL Digital
superb App Nice Working My Every Day transaction helpful App I Like It.,UBL Digital
everything is super but i don't like this updated program because I have not enough space . it should be updated from day to start.,UBL Digital
Best application workings transfer mony aa,UBL Digital
"Masha Allah, it is a great application.",UBL Digital
BEST BANKING APPLICATION,UBL Digital
very good app very fast,UBL Digital
Extremely good UI 👍,UBL Digital
Exceptional app with super friendly user interface. No one can provide this other than UBL.,UBL Digital
"UBL Online Application System It's Amazing, Every Features Is Very Good & Very Easy...❤️💯❤️ Thanks Ubl For Your Good Service...✅👍👌",UBL Digital
outstanding service ui and ix design interface is mind blowing nano second fast service,UBL Digital
very good work always,UBL Digital
absolutely marvellous aap,UBL Digital
I found the app very helpful and productive,UBL Digital
