Unnamed: 0,bank,review,rating,Aspects,Opinions,Sentiments,Categories,Simplified_Category
0,SBI,"State Bank Of India is located nearby in our area so i open my saving account from that bank ,customer service was good, I got my bank statement on time the bank agent informed me every details required. It is very easy and convenience for money deposits.",4.0,saving account,open,positive,SUPPORT#GENERAL,SUPPORT
0,SBI,"State Bank Of India is located nearby in our area so i open my saving account from that bank ,customer service was good, I got my bank statement on time the bank agent informed me every details required. It is very easy and convenience for money deposits.",4.0,customer service,good,positive,SERVICE#GENERAL,SERVICE
0,SBI,"State Bank Of India is located nearby in our area so i open my saving account from that bank ,customer service was good, I got my bank statement on time the bank agent informed me every details required. It is very easy and convenience for money deposits.",4.0,bank statement,on time,positive,SUPPORT#GENERAL,SUPPORT
0,SBI,"State Bank Of India is located nearby in our area so i open my saving account from that bank ,customer service was good, I got my bank statement on time the bank agent informed me every details required. It is very easy and convenience for money deposits.",4.0,money deposits,easy,positive,FOOD#STYLE_OPTIONS,OTHER
1,SBI,"I have my salary account in SBI, when I applied for the card I got my statement on time. I am very much satisfied with the the account. Net banking is also functioning smooth and convenient for me. There are some offer in the cards which was good.",5.0,salary account,satisfied,positive,SUPPORT#GENERAL,SUPPORT
1,SBI,"I have my salary account in SBI, when I applied for the card I got my statement on time. I am very much satisfied with the the account. Net banking is also functioning smooth and convenient for me. There are some offer in the cards which was good.",5.0,net banking,functioning smooth and convenient,positive,SOFTWARE#OPERATION_PERFORMANCE,SOFTWARE
1,SBI,"I have my salary account in SBI, when I applied for the card I got my statement on time. I am very much satisfied with the the account. Net banking is also functioning smooth and convenient for me. There are some offer in the cards which was good.",5.0,offer in the cards,good,positive,SOFTWARE#OPERATION_PERFORMANCE,SOFTWARE
2,Axis Bank,I am using Axis bank saving account for the  past 3years .Each transaction will be safe and always secure .I am using net banking as well mobile banking service it is used for money transfer and recharge only.There was no difficulties faced so far on using this saving account.,5.0,saving account,safe,positive,SOFTWARE#OPERATION_PERFORMANCE,SOFTWARE
3,HDFC Bank,"I have my salary bank account in HDFC bank for many years, I got my bank statement on time.This bank is available in most of the areas so its very convenience for deposits and update of passbook. I have no issues with the customer support and its been good experience.",5.0,HDFC bank,good experience,positive,SUPPORT#GENERAL,SUPPORT
4,review,"Close to around 10 years, I am holding this Corporation Bank  savings account The most interesting part about this account I can easily transact and I can withdraw money from anywhere without any charges. ATM and their branches are near to my residence.",5.0,Corporation Bank savings account,interesting,positive,SOFTWARE#OPERATION_PERFORMANCE,SOFTWARE
5,IDBI,I am not getting an alert message from IDBI bank whenever I do a transaction from their end to check the account balance details. I use to visit branch and get good response from their end. I am holding a saving account for the past 6 years and its a zero balance account.,5.0,IDBI bank,NULL,negative,SUPPORT#GENERAL,SUPPORT
6,SBI,"I am using savings account from SBI more than 4 years. If i don't keep any balance, they are deducting some amount so i am  keep on  maintaining the amount. I am doing all transactions and EMI transfer I am using this account only. Customer service was okay.",4.0,savings account,using,neutral,SUPPORT#GENERAL,SUPPORT
6,SBI,"I am using savings account from SBI more than 4 years. If i don't keep any balance, they are deducting some amount so i am  keep on  maintaining the amount. I am doing all transactions and EMI transfer I am using this account only. Customer service was okay.",4.0,SBI,deducting some amount,neutral,SUPPORT#GENERAL,SUPPORT
6,SBI,"I am using savings account from SBI more than 4 years. If i don't keep any balance, they are deducting some amount so i am  keep on  maintaining the amount. I am doing all transactions and EMI transfer I am using this account only. Customer service was okay.",4.0,customer service,okay,neutral,SUPPORT#GENERAL,SUPPORT
7,Kotak,"Its been 2 years, i am using Kotak Bank savings account and its really super service, thats why still i have not contacted with the customer service . I went through online and i have mentioned my details to open this  account and its a zero balance account. They haven't charged a debit card fees,  onces i lost my debit card just 2 days i received.",5.0,Kotak Bank savings account,super service,positive,SUPPORT#GENERAL,SUPPORT
7,Kotak,"Its been 2 years, i am using Kotak Bank savings account and its really super service, thats why still i have not contacted with the customer service . I went through online and i have mentioned my details to open this  account and its a zero balance account. They haven't charged a debit card fees,  onces i lost my debit card just 2 days i received.",5.0,debit card fees,NULL,negative,CHARGE#GENERAL,CHARGE
8,HDFC Bank,"Since 2002, I am maintain my savings account from HDFC Bank. This is salary comes saving account, no need to maintain minimum balance. I am getting offer messages for loan offer and i never spoke to customer care. For cash withdrawal, shopping and all i use to get instant message.",5.0,savings account,main my,positive,SOFTWARE#GENERAL,SOFTWARE
9,Axis Bank,"An executive has made to open an account with AXIS, so I have been using this account last 2 months before only. There is no ATM but it will not be charge for other ATM transaction. There is no much branches are avail in my city. So far I didn't faced any fraudulent issue.",5.0,account,no ATM,neutral,SUPPORT#GENERAL,SUPPORT
10,Kotak,I came to know that there is trial of 0% charge to open a saving account with KOTAK which is 811 app saving account. In which all the process was done through online. I maintain this account more than 2 years. No need to maintain a minimum balance. I have not done much transaction in this account.,5.0,saving account,NULL,neutral,SOFTWARE#OPERATION_PERFORMANCE,SOFTWARE
11,SBI,"My mother has suggested SBI to open a saving account with them. Since she is govt employee, know all benefits and details. Hence I am having an account with them past 7 years. Need to maintain a minimum balance of 3K. ATM and branches are near. I use to get all details and update from bank.",5.0,SBI,suggested,positive,SUPPORT#GENERAL,SUPPORT
12,HDFC Bank,I am using HDFC saving account for more than 5 years. When I joined my previous company they made me to open a salary account with this bank. Later I resigned that job so now converted to saving account. Need to maintain a minimum balance of 10K its kind high if not maintain an amount charges are final. I get calls from banker if they provide any offers  for other products.,5.0,HDFC saving account,high,neutral,SUPPORT#GENERAL,SUPPORT
13,review,"Indian Bank cash deposit machine is not convenient to use and i am using this saving account more than 10 years. The customer service is need to improve and I am keeping minimum balance of Rs. 500. Their net banking facility is okay, I went to the branch for the cash deposit and the response is okay.",3.0,Indian Bank cash deposit machine,not convenient to use,negative,HARDWARE#OPERATION_PERFORMANCE,HARDWARE
13,review,"Indian Bank cash deposit machine is not convenient to use and i am using this saving account more than 10 years. The customer service is need to improve and I am keeping minimum balance of Rs. 500. Their net banking facility is okay, I went to the branch for the cash deposit and the response is okay.",3.0,customer service,need to improve,negative,SERVICE#GENERAL,SERVICE
