content,app,aspects,opinions,sentiments,categories,mapped_categories
very easy to use,UBL Digital,['NULL'],['easy'],['positive'],['LAPTOP#USABILITY'],['APP#USABILITY']
"The app is very simple, and I love that. However, a few months ago, an update introduced a new column labeled ""Available Balance"" when sending money. This is concerning because everyone can see the remaining balance. I request that this information be either removed or hidden, allowing users to view it only by tapping on the remaining balance.",UBL Digital,"['app', 'available balance']","['simple', 'concerning']","['positive', 'negative']","['SOFTWARE#GENERAL', 'SOFTWARE#OPERATION_PERFORMANCE']","['APP#FEATURES', 'APP#PERFORMANCE']"
"The overall experience is good lekin 2 issues hain ke jb kisi ka koi account add kre to udr BANK ka naam show hona chahiye instead of RAAST, Agr kisi ke 2 ya 2 se zyada account add kare to pata hi nahi chalta ke konsa BANK add hai, bs RAAST show hota hai or Payment DONE hone ke baad Date ke sath TIME bhi show hona chahiye.... Please fix these issues.",UBL Digital,['BANK ka naam show hona chahiye'],['good'],['positive'],['SUPPORT#GENERAL'],['CUSTOMER_SUPPORT']
one of the best app for digital banking in pakistan,UBL Digital,['app'],['best'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
Good app still to improve otp system,UBL Digital,['app'],['Good'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
"I have ubl digital smart account It was going great before. now a days i have restrictions on my account they said kyc updated required i have mailed the but past 5 days regularly and i visited branch 2 time and branch mailed the headquarters to solve my problem but no response from department My money is not coming out, I am stuck in trouble. I have opened a smart account, but the bank is not solving my problem.",UBL Digital,"['smart account', 'bank']","['NULL', 'not solving my problem']","['negative', 'negative']","['SOFTWARE#GENERAL', 'SUPPORT#GENERAL']","['APP#FEATURES', 'CUSTOMER_SUPPORT']"
It's really helpful for me because I can send or receive anytime anywhere I really love this app,UBL Digital,['app'],['helpful'],['positive'],['SOFTWARE#USABILITY'],['APP#USABILITY_FEATURES']
Awesome app and thanks UBL team,UBL Digital,['app'],['Awesome'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
Before this update you could write down the reason for transaction in description. it was a very good feature. help me at least to remember who i paid this amount to and for what reason. this update has removed that. please bring that feature back.,UBL Digital,['feature'],['good'],['negative'],['SOFTWARE#GENERAL'],['APP#FEATURES']
good service provide by ubl,UBL Digital,['service'],['good'],['positive'],['SERVICE#GENERAL'],['BRANCH_SERVICE']
good sirves good luck good,UBL Digital,['sirves'],['good'],['positive'],['SERVICE#GENERAL'],['BRANCH_SERVICE']
I'm working with UBL and smooth app and very helpful,UBL Digital,['app'],['smooth'],['positive'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
otp not accept first time why,UBL Digital,['otp'],['NULL'],['negative'],['SOFTWARE#GENERAL'],['APP#FEATURES']
good Working UBL app and very easy features,UBL Digital,['UBL app'],['easy'],['positive'],['SOFTWARE#OPERATION_PERFORMANCE'],['APP#PERFORMANCE']
Outstanding App always,UBL Digital,['App'],['Outstanding'],['positive'],['SOFTWARE#GENERAL'],['APP#FEATURES']
